unit;art;strength;volume;category;trade_mark;name;
шт;9010300000052;4,8;0,5;Пиво;Грискирхнер;Пилс;
шт;9010300000045;5;0,5;Пиво;Грискирхнер;Дункель;
шт;9010300000038;5,4;0,5;Пиво;Грискирхнер;Экспорт;
шт;9010300000014;5;0,5;Пиво;Грискирхнер;Метцен;
шт;8936190131021;0;0,33;Безалкогольные напитки;Винат;Вотермелон;
шт;8936177701698;0;0,33;Безалкогольные напитки;Энкампа;Нектар Манго;
шт;8936177700455;0;0,33;Безалкогольные напитки;Энкампа;Нектар Папайи;
шт;8936177700448;0;0,33;Безалкогольные напитки;Энкампа;Нектар Личи;
шт;8936177700431;0;0,33;Безалкогольные напитки;Энкампа;Нектар Гуавы;
шт;8936177700424;0;0,33;Безалкогольные напитки;Энкампа;Нектар Маракуйи;
шт;8936143033273;0;0,33;Безалкогольные напитки;Винат;Драгон Фрут;
шт;8936121112853;0;0,33;Безалкогольные напитки;Винат;Рэд Орандж;
шт;8936121110767;0;0,33;Безалкогольные напитки;Винат;Пайнэппл;
шт;8936121110743;0;0,33;Безалкогольные напитки;Винат;Микст;
шт;8936121110453;0;0,33;Безалкогольные напитки;Винат;Пич;
шт;8936121110446;0;0,33;Безалкогольные напитки;Винат;Рэд Грейп;
шт;8936121110415;0;0,33;Безалкогольные напитки;Винат;Помегранат;
шт;8936121110392;0;0,33;Безалкогольные напитки;Винат;Манго;
шт;8809713915616;0;0,35;Безалкогольные напитки;ОКФ Спарклинг;Мангостин;
шт;8809713915593;0;0,35;Безалкогольные напитки;ОКФ Спарклинг;Лайм;
шт;8809713915555;0;0,35;Безалкогольные напитки;ОКФ Спарклинг;Юдзу;
шт;8809713915531;0;0,35;Безалкогольные напитки;ОКФ Спарклинг;Пайнэппл;
шт;8809713914817;0;0,35;Безалкогольные напитки;ОКФ Спарклинг;Пич;
шт;8809713914121;0;0,35;Безалкогольные напитки;ОКФ Спарклинг;Блюберри;
шт;8809713914107;0;0,35;Безалкогольные напитки;ОКФ Спарклинг;Грейпфрут;
шт;8809713914084;0;0,35;Безалкогольные напитки;ОКФ Спарклинг;Грин Эппл;
шт;8809713910239;0;0,35;Безалкогольные напитки;ОКФ Спарклинг;Мелон;
шт;8809713910192;0;0,35;Безалкогольные напитки;ОКФ Спарклинг;Строберри;
шт;8801105912906;0;0,34;Безалкогольные напитки;Хаитаи Коко Палм;Йогурт;
шт;8801105912692;0;0,34;Безалкогольные напитки;Хаитаи Коко Палм;Пич;
шт;8801105911312;0;0,34;Безалкогольные напитки;Хаитаи Коко Палм;Грэйпс;
шт;8594200060169;5,9;0,568;Пиво;Ческа Пинта №1;Монастырское;
шт;8594191920084;4,7;0,5;Пиво;Прага;Премиум Пилс;
шт;8594048894025;4,4;0,5;Пиво;Прага;Светлый Лежак Бир Пилснер;
шт;8594014584011;4,5;0,5;Пиво;Клаштер;Светлый Лежак;
шт;8437005264014;6;0,75;Сидр;Баркаизтеги;Айтона;
шт;8435185946430;0;0,33;Безалкогольные напитки;Швеппс;Биттер Лемон;
шт;8435185943996;0;0,33;Безалкогольные напитки;Швеппс;Цитрус Микс;
шт;8435185943989;0;0,33;Безалкогольные напитки;Швеппс;Лэмон;
шт;8435185943972;0;0,33;Безалкогольные напитки;Швеппс;Орандж;
шт;8427209019558;6;0,7;Сидр;Кортина;Сухой;
шт;8427209019541;6;0,7;Сидр;Вилакубера;Сухой;
шт;8422333000229;0;0,7;Сидр;Трабанко;Лагар де Камин;
шт;8422333000038;0;0,7;Сидр;Камин;Натурал Камин;
шт;8422316000031;6;0,7;Сидр;Трабанко;Натурал Селексион;
шт;8413481012004;4,1;0,75;Сидр;Майадор;Полусладкий;
шт;6971339684015;0;0,56;Безалкогольные напитки;Женчун;Копченая Слива;
шт;6971339683919;0;0,56;Безалкогольные напитки;Женчун;Виноград;
шт;6971339683810;0;0,56;Безалкогольные напитки;Женчун;Тутовая Черника;
шт;6971339683711;0;0,56;Безалкогольные напитки;Женчун;Клубника Черника и Красная воковица;
шт;6971339683612;0;0,56;Безалкогольные напитки;Женчун;Маракуйя;
шт;6971339683513;0;0,56;Безалкогольные напитки;Женчун;Личи и Грейпфрут;
шт;6971339683414;0;0,56;Безалкогольные напитки;Женчун;Свежий Апельсин;
шт;6971339683315;0;0,56;Безалкогольные напитки;Женчун;Арбуз и Дыня;
шт;6971339683216;0;0,56;Безалкогольные напитки;Женчун;Ананас и Персик;
шт;6971339683117;0;0,56;Безалкогольные напитки;Женчун;Ананас и Манго;
шт;6971339683018;0;0,56;Безалкогольные напитки;Женчун;Лимонад;
шт;5903111335533;0;0,33;Безалкогольные напитки;Швеппс;Биттер Мохито;
шт;5449000297877;0;0,33;Безалкогольные напитки;Фанта;Элдерфлоуер Германия;
шт;5449000195364;0;0,33;Безалкогольные напитки;Коко Кола;Черри Польша;
шт;5449000000286;0;2;Безалкогольные напитки;Коко Кола;Грузия;
шт;5411663007001;8;0,33;Пиво;Августин;Брюн;
шт;5411663002174;7,2;0,33;Пиво;Борнем;Дюбель;
шт;5061013940443;0;0,5;Безалкогольные напитки;Монстр Энерджи;Зиро Шуга;
шт;5060947546844;0;0,5;Безалкогольные напитки;Монстр Энерджи;Нитро Космик Пич;
шт;5060947546332;0;0,5;Безалкогольные напитки;Монстр Энерджи;Пичи Кин Зиро;
шт;5060947541610;0;0,5;Безалкогольные напитки;Монстр Энерджи;Ультра Роса;
шт;5060947540620;0;0,5;Безалкогольные напитки;Монстр Энерджи;Асье Лимонад;
шт;5060896626208;0;0,5;Безалкогольные напитки;Монстр Энерджи;Зиро Шуга Блю Текст;
шт;5060896625461;0;0,5;Безалкогольные напитки;Монстр Энерджи;Льюис Хамильтон Зиро Кукра;
шт;5060896623863;0;0,5;Безалкогольные напитки;Монстр Энерджи;Ультра Голд Пайнэппл;
шт;5060896622309;0;0,5;Безалкогольные напитки;Монстр Энерджи;Ассаулт;
шт;5060896620329;0;0,5;Безалкогольные напитки;Монстр Энерджи;Ультра Вотермелон;
шт;5060751218920;0;0,5;Безалкогольные напитки;Монстр Энерджи;Нитро;
шт;5060751214021;0;0,5;Безалкогольные напитки;Монстр Энерджи;Ультра Фиеста Манго;
шт;5060751211600;0;0,5;Безалкогольные напитки;Монстр Энерджи;Ультра Парадайз;
шт;5060751211358;0;0,5;Безалкогольные напитки;Монстр Энерджи;Хаотик;
шт;5060751211228;0;0,5;Безалкогольные напитки;Монстр Энерджи;Мул;
шт;5060751210986;0;0,568;Безалкогольные напитки;Монстр Энерджи;Супер Фьюл Вотермелон;
шт;5060639125739;0;0,5;Безалкогольные напитки;Монстр Энерджи;Ультра Вайолет Зиро;
шт;5060639123582;0;0,5;Безалкогольные напитки;Монстр Энерджи;Панч Пайплайн;
шт;5060639121700;0;0,5;Безалкогольные напитки;Монстр Энерджи;Манго Локо;
шт;5060337500258;0;0,5;Безалкогольные напитки;Монстр Энерджи;Ультра Зиро;
шт;5060335635365;0;0,5;Безалкогольные напитки;Монстр Энерджи;Зэ Дактор;
шт;5060166692483;0;0,5;Безалкогольные напитки;Монстр Энерджи;Ориджинал;
шт;5000213000700;4,2;0,44;Пиво;Гиннес;Драфт;
л;4811023001655;5;30;Сидр;Роял;Вишневый;
л;4811023000443;5;30;Сидр;Роял;Яблочный Полусухой;
л;4811023000412;5;30;Сидр;Роял;Яблочный Полусладкий;
шт;4691112881289;4,7;0,5;Медовуха;Мъельнир;Проделки Локи;
шт;4680089900307;6;0,5;Сидр;Дикий Крест;Восстание Против Пепина;
шт;4680089900062;0;0,33;Безалкогольные напитки;Рэбл Эппл;Нимфо;
