unit	price	strength	volume	category	trade_mark	art	name	
шт	152,00	5,5	0,5	Сидр	Апплетон	4631150416814	Блкэк Керант базилик	
шт	152,00	5,5	0,5	Сидр	Апплетон	4631150416807	Кренберри Синамон	
шт	165,09	5,5	0,5	Сидр	Апплетон	4631150416869	Лунатик Вотермэлон	
шт	173,88	5,5	0,5	Сидр	Апплетон	4631150416883	Лунатик Пиар Личи	
шт	156,00	5,5	0,5	Сидр	Апплетон	4631150416906	Фейхоа Кукумбер (Берриес)	
шт	152,00	5,5	0,5	Сидр	Апплетон	4631150416531	Блюберри	
шт	152,00	5,5	0,5	Сидр	Апплетон	4631150416500	Вотермэлон	
шт	152,00	5,5	0,5	Сидр	Апплетон	4631150416920	Киви	
шт	152,00	5,5	0,5	Сидр	Апплетон	4631150416562	Манго	
шт	152,00	5,5	0,5	Сидр	Апплетон	4631150416616	Пайнэппл Коконат	
шт	152,00	5,5	0,5	Сидр	Апплетон	4631150416517	Пайнэппл	
шт	152,00	5,5	0,5	Сидр	Апплетон	4631150416524	Пинк Грейпфрут	
шт	152,00	5,5	0,5	Сидр	Апплетон	4631150416579	Пич	
шт	152,00	5,5	0,5	Сидр	Апплетон	4631150416555	Расберри	
шт	156,00	5,5	0,5	Сидр	Апплетон	4631150416913	Кола (Рутбир)	
шт	152,00	5,5	0,5	Сидр	Апплетон	4631150416586	Рэд Грейпс	
шт	156,00	5,5	0,5	Сидр	Апплетон	4631150416630	Си Бакторн Джинжер	
шт	152,00	5,5	0,5	Сидр	Апплетон	4631150416821	Строуберри	
шт	152,00	5,5	0,5	Сидр	Апплетон	4631150416609	Черри Кизил	
шт	152,00	5,5	0,5	Сидр	Апплетон	4631150416647	Черриес	
шт	94,57	5	0,33	Сидр	Роял	4811023002317	Абрикосовая	
шт	94,57	5	0,33	Сидр	Роял	4811023002072	Вишневая	
шт	94,57	5	0,33	Сидр	Роял	4811023002362	Клубничная	
шт	94,57	5	0,33	Сидр	Роял	4811023002218	Клюквенная	
шт	94,57	5	0,33	Сидр	Роял	4811023002461	Мятная	
шт	94,57	5	0,33	Сидр	Роял	4811023002164	с Черной Смородиной	
шт	94,57	5	0,33	Сидр	Роял	4811023002263	Сливовая	
шт	94,57	5	0,33	Сидр	Роял	4811023001167	Яблочный с Грушей	
шт	94,57	5	0,33	Сидр	Роял	4811023001235	Яблочный Полусладкий	
шт	94,57	5	0,33	Сидр	Роял	4811023001242	Яблочный Полусухой	
шт	216,29	5	0,75	Сидр	Роял	4811023002294	Абрикосовая	
шт	216,29	5	0,75	Сидр	Роял	4811023002058	Вишневая	
шт	216,29	5	0,75	Сидр	Роял	4811023002348	 Клубничная	
шт	216,29	5	0,75	Сидр	Роял	4811023002195	Клюквенная	
шт	216,29	5	0,75	Сидр	Роял	4811023002140	с Черной Смородиной	
шт	216,29	5	0,75	Сидр	Роял	4811023002249	Сливовая	
шт	216,29	5	0,75	Сидр	Роял	4811023001129	Яблочный с Грушей	
шт	216,29	5	0,75	Сидр	Роял	4811023001198	Яблочный Полусладкий	
шт	216,29	5	0,75	Сидр	Роял	4811023001204	Яблочный Полусухой	
л	191,88	5	30	Сидр	Роял	4811023002386	Клубничная	
л	191,88	5	30	Сидр	Роял	4811023002232	Клюквенная	
л	191,88	5	30	Сидр	Роял	4811023002188	с Черной Смородиной	
л	191,88	5	30	Сидр	Роял	4811023002287	Сливовая	
л	191,88	5	30	Сидр	Роял	4811023002669	Яблочный с Грушей	
шт	169,00	4	0,5	Сидр	Роял	4673733786020	номер 3	
шт	169,00	5	0,5	Сидр	Роял	4673733786013	номер 2	
шт	169,00	5,5	0,5	Сидр	Роял	4673733786006	номер 1	
шт	91,80	5,2	0,33	Сидр	Ферн	4811023004915	Яблочный с Клюквой и Грейпфрутом	
шт	91,80	6	0,33	Сидр	Ферн	4811023005394	Яблочный с Черной Смородиной и Карамелью	
шт	91,80	5,2	0,33	Сидр	Ферн	4811023005448	Яблочный со Вкусом Банана и Мяты	
шт	91,80	6	0,33	Сидр	Ферн	4811023005493	Яблочный со Вкусом Лайма и Имбиря	
шт	120,00	6	0,5	Сидр	Ферн	4811023005752	Яблочная с Клубникой и Лаймом	
шт	120,00	6	0,5	Сидр	Ферн	4811023005660	Яблочная с Лаймом и Гималайской Солью	
шт	120,00	6	0,5	Сидр	Ферн	4811023005721	Яблочный с Вишней, Миндалем и Жженым Сахаром на Дубовой Щепе	
шт	120,00	6	0,5	Сидр	Ферн	4811023005691	Яблочный с Дыней и Маракуйей	
шт	218,70	6	0,75	Сидр	Ферн	4811023005639	Фризанте Белый	
шт	218,70	6	0,75	Сидр	Ферн	4811023005615	Фризанте Красный	
шт	218,70	5,2	0,75	Сидр	Ферн	4811023004892	Яблочный с Клюквой и Грейпфрутом	
шт	218,70	6	0,75	Сидр	Ферн	4811023005370	Яблочный с Черной Смородиной и Карамелью	
шт	218,70	6	0,75	Сидр	Ферн	4811023005479	Яблочный со Вкусом Лайма и Имбиря	
л	187,12	6	30	Сидр	Ферн	4811023005714	Яблочный с Вишней, Миндалем и Жженым Сахаром на Дубовой Щепе	
л	187,12	6	30	Сидр	Ферн	4811023005714	Яблочный с Вишней, Миндалем и Жженым Сахаром на Дубовой Щепе	
л	187,12	6	30	Сидр	Ферн	4811023005684	Яблочный с Дыней и Маракуйей	
шт	85,12	5,6	0,45	Сидр	Белый Феникс	4630178430260	Манго-Цитрус	
шт	85,12	5,6	0,45	Сидр	Белый Феникс	4630178430789	Персик-Банан	
шт	85,12	5,6	0,45	Сидр	Белый Феникс	4630178430208	Виноград-Мандарин	
шт	85,12	5,6	0,45	Сидр	Белый Феникс	4630178430185	Гранат-Малина	
шт	85,12	5,6	0,45	Сидр	Белый Феникс	4630178430284	Грейпфрут-Маракуйя	
шт	85,12	5,6	0,45	Сидр	Белый Феникс	4630178430178	Клубника	
шт	85,12	5,6	0,45	Сидр	Белый Феникс	4630178430345	Кокос-Цитрус	
шт	85,12	5,6	0,45	Сидр	Белый Феникс	4630178430307	Сицилийский Апельсин	
шт	85,12	5,6	0,45	Сидр	Белый Феникс	4630178430154	Тёмная Вишня	
шт	84,24	5,9	0,5	Сидр	Дабл Три	4630178430642	Полусухой	
шт	84,24	5,9	0,5	Сидр	Дабл Три	4630178430574	Двойная Вишня	
шт	83,40	5,6	0,45	Сидр	Дабл Три	4630178430192	ПР	
шт	83,40	5,6	0,45	Сидр	Дабл Три	4630178430567	Лесные Ягоды	
шт	70,88	4,2	0,45	Сидр 	Келвиш	4657761490135	Малина	
шт	70,88	4,2	0,45	Сидр 	Келвиш	4657761490074	Яблочный	
шт	84,52	5,5	0,45	Сидр	Пош	4620094610099	Сицилийский Апельсин	
шт	84,25	4,7	0,45	Сидр	Пош	4630029641913	Грейпфрут-Манго	
шт	84,52	5,5	0,45	Сидр	Пош	4620094610051	Гранат-Малина	
шт	84,51	4,7	0,45	Сидр	Пош	4630029641890	Черная Смородина	
шт	84,51	4,7	0,45	Сидр	Пош	4630029641906	Японская Слива	
шт	198,45	0	0,33	Безалкогольный сидр	Гуд Сайдер Сан-Себастьян	8410635396317	Яблоко	
шт	220,05	5,5	0,33	Сидр	Гуд Сайдер Сан-Себастьян	8410635396690	Брют	
шт	210,60	4,5	0,33	Сидр	Гуд Сайдер Сан-Себастьян	8410635039160	Яблоко	
шт	210,60	4,5	0,33	Сидр	Гуд Сайдер Сан-Себастьян	8410635396249	Груша	
шт	210,60	4	0,33	Сидр	Гуд Сайдер Сан-Себастьян	8410635396287	Клубника	
шт	210,60	4	0,33	Сидр	Гуд Сайдер Сан-Себастьян	8410635396256	Персик	
шт	210,60	4	0,33	Сидр	Гуд Сайдер Сан-Себастьян	8410635396263	Лесные Ягоды	
шт	476,55	5,5	0,75	Сидр	Гуд Сайдер Сан-Себастьян	8410635396713	Брют	
шт	456,30	4,5	0,75	Сидр	Гуд Сайдер Сан-Себастьян	8410635004038	Яблоко	
шт	456,30	4,5	0,75	Сидр	Гуд Сайдер Сан-Себастьян	8410635004069	Груша	
шт	456,30	4	0,75	Сидр	Гуд Сайдер Сан-Себастьян	8410635004045	Лесные Ягоды	
шт	456,30	4	0,75	Сидр	Гуд Сайдер Сан-Себастьян	8410635396706	Клубника	
шт	98,23	0	0,33	Безалкогольные напитки	Кока Кола	9909900510385	Ориджинал (Польша)	
шт	147,54	0	0,355	Безалкогольные напитки	Кока Кола	4963406	Ориджинал (США)	
шт	104,04	0	0,33	Безалкогольные напитки	Фанта	5740700996153	Экзотик (Германия/Дания)	
шт	104,04	0	0,33	Безалкогольные напитки	Фанта	5740700987984	Строберри-киви (Германия/Дания)	
шт	129,73	0	0,355	Безалкогольные напитки	Фанта	49000014273	Пайнэппл (США)	
шт	189,00	0	0,75	Безалкогольные напитки	Абрау 	4630027301079	Лайт розовый	
шт	189,00	0	0,75	Безалкогольные напитки	Абрау 	4630027300508	Лайт	
шт	106,44	0	0,375	Безалкогольные напитки	Абрау 	4630027301130	Индиан Тоник без сахара	
шт	107,35	0	0,375	Безалкогольные напитки	Абрау 	4630027300980	Индиан Тони	
шт	98,23	0	0,33	Безалкогольные напитки	Фанта	5449000054531	Оранж (Польша)	
шт	102,00	0	0,45	Безалкогольные напитки	Дальняя Дача	4673733786037	Шорли	
шт	236,52	0	0,75	Безалкогольные напитки	Санто Стефано	4670025474412	Бьянко	
шт	236,52	0	0,75	Безалкогольные напитки	Санто Стефано	4670025474429	Россо	
шт	79,38	0	0,375	Вода	4 Воды	4607026341870	Среднегазированная Виноградная	
