unit;art;country;strength;volume;category;trade_mark;name
шт;49000033939;СОЕДИНЕННЫЕ ШТАТЫ;0;0,355;Безалкогольные напитки;Фанта;Пич США
шт;466000906562;РОССИЯ;4,5;0,45;Пиво;Доктор Штейн;Грейпфрут
шт;776029707045;РОССИЯ;5,5;0,45;Пиво;Музхед;Смолл Батч Виена Лагер
шт;3360920120286;ФРАНЦИЯ;4,5;20;Сидр;Ле Кло Флери;Брют
шт;4005686003198;ГЕРМАНИЯ;5,5;0,5;Пиво;Хофброй;Дункель
шт;4005686006076;ГЕРМАНИЯ;5,1;0,5;Пиво;Хофброй;Шварц Бир
шт;4014388000213;ГЕРМАНИЯ;4,8;0,5;Пиво;Радебергер;Пилснер ж/б
шт;4602983011781;РОССИЯ;0;0,33;Безалкогольные напитки;Лав Из;Клубника-Банан
шт;4602983011828;РОССИЯ;0;0,33;Безалкогольные напитки;Лав Из;Ананас-Кокос
шт;4620085780039;РОССИЯ;5,5;0,5;Пиво;Салденс;Американ Пейл Эль
шт;4620085780060;РОССИЯ;7,2;0,5;Пиво;Салденс;Сикс Хопс
шт;4620085780121;РОССИЯ;8,5;0,5;Пиво;Салденс;Олд Скул Дабл ИПА
шт;4620085780299;РОССИЯ;5,5;0,5;Пиво;Салденс;Чешский Пилзнер
шт;4620085780602;РОССИЯ;6,5;0,5;Пиво;Салденс;Стаут Ром Баба
шт;4620085784235;РОССИЯ;4,5;0,5;Пиво;Салденс;Тульский Эль
шт;4620085785836;РОССИЯ;7;0,5;Пиво;Салденс;Милкшейк Пина Колада
шт;4627108127024;РОССИЯ;5,5;0,75;Сидр;Андреев;Перри
шт;4627130129102;СОЕДИНЕННЫЕ ШТАТЫ;0;0,355;Безалкогольные напитки;Фанта;Строуберри США
шт;4627130129126;СОЕДИНЕННЫЕ ШТАТЫ;0;0,355;Безалкогольные напитки;Фанта;Берри США
шт;4627130129133;СОЕДИНЕННЫЕ ШТАТЫ;0;0,355;Безалкогольные напитки;Фанта;Грейп США
шт;4627130129140;ПОЛЬША;0;0,355;Безалкогольные напитки;Кока-Кола;Ванилла
шт;4627130129287;ГЕРМАНИЯ;5;0,5;Пиво;Макслрэйнер;Лео Вайз
шт;4627172580015;РОССИЯ;0;0,33;Безалкогольные напитки;Лав Из;Ананас-Апельсин
шт;4627172580022;РОССИЯ;0;0,33;Безалкогольные напитки;Лав Из;Яблоко-Лимон
шт;4627172580046;РОССИЯ;0;0,33;Безалкогольные напитки;Лав Из;Вишня-Лимон
шт;4627172580053;РОССИЯ;0;0,33;Безалкогольные напитки;Лав Из;Ягодный-Микс
шт;4627172580077;РОССИЯ;0;0,33;Безалкогольные напитки;Лав Из;Манго-Маракуйя
шт;4630016560593;РОССИЯ;5,5;1;Сидр;Фреш Гарден;Полусухой
шт;4630178430796;РОССИЯ;5,6;0,45;Сидр;Дабл Три;Лимон-Лайм
шт;4631169457075;РОССИЯ;5;0,5;Сидр;Бродилка;Бродящая Собака
шт;4631171325188;РОССИЯ;5,5;0,5;Сидр;Бродилка;Полусухой
шт;4631171714166;РОССИЯ;5;0,5;Сидр;Бродилка;Вишня
шт;4631171844412;РОССИЯ;5;0,5;Сидр;Бродилка;Земляника
шт;4631171844436;РОССИЯ;6;0,5;Сидр;Бродилка;Сухой
шт;4631171853476;РОССИЯ;5;0,5;Сидр;Бродилка;Бродящая Собака Черника
шт;4631171853483;РОССИЯ;0;0,33;Сидр;Бродилка;Грейпфрут
шт;4631171853506;РОССИЯ;0;0,33;Сидр;Бродилка;Вишня
шт;4640195520103;РОССИЯ;4,1;30;Сидр;Найси;Молочный Грейпфрут
шт;4640195520363;РОССИЯ;4,7;0,45;Сидр;Лось и Кедр;Версия 7.0
шт;4640195520400;РОССИЯ;4,6;0,45;Сидр;Лось и Кедр;Версия 11.0
шт;4640195520417;РОССИЯ;5,3;0,45;Сидр;Лось и Кедр;Версия 15.0
шт;4640195520424;РОССИЯ;4,1;0,45;Сидр;Лось и Кедр;Версия 6.0
л;4640195520479;РОССИЯ;5,1;0,45;Пиво;ВитаБир;Вишневое Пироженое
л;4640195520486;РОССИЯ;5,1;0,45;Пиво;ВитаБир;Кокосовый Пончик
шт;4640195523708;РОССИЯ;5,7;0,45;Сидр;ВитаСид;Малиновые Истории
шт;4640195523753;РОССИЯ;5,7;0,45;Сидр;ВитаСид;Вишневые Истории
шт;4640195523807;РОССИЯ;5,7;0,45;Сидр;ВитаСид;Яблочные Истории Том 1 Полусладкий
л;4640195524088;РОССИЯ;5,7;0,45;Сидр;ВитаСид;Яблочные Истории Том 2 Полусухой
л;4640195524095;РОССИЯ;5,7;0,45;Сидр;ВитаСид;Вишневые Истории
л;4640195524439;РОССИЯ;5,4;0,45;Медовуха;Нажужжали На Алтае;Мятная
л;4640195524446;РОССИЯ;5,4;0,45;Медовуха;Нажужжали На Алтае;Банановая
шт;4660009065194;РОССИЯ;4;0,45;Пиво;Салаир;Пиводел Классический
шт;4660009065590;РОССИЯ;4,5;0,45;Пиво;Доктор Штейн;Гранат
шт;4660009065606;РОССИЯ;4,5;0,45;Пиво;Доктор Штейн;Груша
шт;4660009065637;РОССИЯ;4,5;0,45;Пиво;Доктор Штейн;Клубника
шт;4660009065644;РОССИЯ;4,5;0,45;Пиво;Доктор Штейн;Черная Смородина
шт;4660009066085;РОССИЯ;4,5;0,45;Пиво;Салаир;Красный Гусь
шт;4660009066139;РОССИЯ;8,2;0,45;Пиво;Салаир;Драбадан
шт;4660009068515;РОССИЯ;4,5;0,45;Пиво;Салаир;Гюнтер
шт;4660009068546;РОССИЯ;4;0,45;Пиво;Салаир;Марочное
шт;4660059930909;РОССИЯ;0;0,5;Пиво;Глетчер;Брейншторм АПА
шт;4673729298094;РОССИЯ;0;0,33;Сидр;Бродилка;Безалкогольный Сидр
шт;4811023005424;БЕЛАРУСЬ;5,2;0,75;Сидр;Ферн;со вкусом банана и мяты
л;4811023005820;БЕЛАРУСЬ;5,2;30;Сидр;Ферн;Яблочный с малиной
шт;5027342006106;СОЕДИНЕННОЕ КОРОЛЕВСТВО;3,4;0,5;Сидр;Бразерс;Ан-Берриливэйбл
шт;5027342006120;СОЕДИНЕННОЕ КОРОЛЕВСТВО;3,4;0,5;Сидр;Бразерс;Бест Офф Зэ Зэст Сайдер
шт;5027342006144;СОЕДИНЕННОЕ КОРОЛЕВСТВО;3,4;0,5;Сидр;Бразерс;Берри Саб Лайм Сайдер
шт;5060751211419;ИРЛАНДИЯ;0;0,5;Безалкогольные напитки;Монстр Энерджи;Панч Пацифик
шт;5061013944830;ИРЛАНДИЯ;0;0,5;Безалкогольные напитки;Монстр Энерджи;Бэд Эппл
шт;5201156039714;ГЕРМАНИЯ;0;0,33;Безалкогольные напитки;Пепси;Ориджинал
шт;5449000014535;СОЕДИНЕННОЕ КОРОЛЕВСТВО;0;0,33;Безалкогольные напитки;Спрайт; Ориджинал Великобритания
шт;5449000124166;СОЕДИНЕННОЕ КОРОЛЕВСТВО;0;0,33;Безалкогольные напитки;Кока-Кола;Лемон Великобритания
шт;5449000286932;ГЕРМАНИЯ;0;0,33;Безалкогольные напитки;Фанта;Лемон
шт;5902860410041;ПОЛЬША;0;0,85;Безалкогольные напитки;Доктор Пеппер;Ориджинал ПЭТ
шт;5902860411994;ПОЛЬША;0;0,45;Безалкогольные напитки;Доктор Пеппер;Ориджинал ПЭТ
шт;6954767410388;КИТАЙ;0;0,33;Безалкогольные напитки;Кока-Кола;Ориджинал Китай
шт;6954767422688;КИТАЙ;0;0,33;Безалкогольные напитки;Кока-Кола;Ориджинал Зеро Китай
шт;6971339684114;КИТАЙ;0;0,62;Безалкогольные напитки;Женчун;со вкусом Ананаса и Персика
шт;6971339684138;КИТАЙ;0;0,62;Безалкогольные напитки;Женчун;со вкусом Ананаса и Манго
шт;6971339684145;КИТАЙ;0;0,62;Безалкогольные напитки;Женчун;со вкусом Маракуйи
шт;6971339684152;КИТАЙ;0;0,62;Безалкогольные напитки;Женчун;со вкусом Арбуза и Дыни
шт;6971339684169;КИТАЙ;0;0,62;Безалкогольные напитки;Женчун;со вкусом Винограда
шт;6971339684190;КИТАЙ;0;0,62;Безалкогольные напитки;Женчун;со вкусом Свежего Апельсина
шт;6971339684206;КИТАЙ;0;0,62;Безалкогольные напитки;Женчун;со вкусом Личи и Грейпфрута
шт;6971339684213;КИТАЙ;0;0,62;Безалкогольные напитки;Женчун;со вкусом Клубники Черники и Красной Восковицы
шт;6971339684220;КИТАЙ;0;0,62;Безалкогольные напитки;Женчун;со вкусом Малины
шт;6971339684237;КИТАЙ;0;0,62;Безалкогольные напитки;Женчун;со вкусом Вишни
шт;8422316001021;ИСПАНИЯ;0;0,33;Сидр;Авалон;Авалон
шт;8435185944009;ПОЛЬША;0;0,33;Безалкогольные напитки;Доктор Пеппер;Ориджинал
шт;8801056029951;КОРЕЯ, РЕСПУБЛИКА;0;0,235;Безалкогольные напитки;Летс Би;Арабика
шт;8801056050269;КОРЕЯ, РЕСПУБЛИКА;0;0,24;Безалкогольные напитки;Летс Би;Кофетайм Латте
шт;8801056066574;КОРЕЯ, РЕСПУБЛИКА;0;0,24;Безалкогольные напитки;Летс Би;Латте
шт;8801056066581;КОРЕЯ, РЕСПУБЛИКА;0;0,24;Безалкогольные напитки;Летс Би;Капучино
шт;8801056167509;КОРЕЯ, РЕСПУБЛИКА;0;0,24;Безалкогольные напитки;Летс Би;Си Солт
